pack_type,release date,pack_id,pack name
Expansion Packs,2015-03-31,EP01,Get To Work
Expansion Packs,2015-12-08,EP02,Get Together
Expansion Packs,2016-11-01,EP03,City Living
Expansion Packs,2017-11-10,EP04,Cats & Dogs
Expansion Packs,2018-06-22,EP05,Seasons
Expansion Packs,2018-11-16,EP06,Get Famous
Expansion Packs,2019-06-21,EP07,Island Living
Expansion Packs,2019-11-15,EP08,Discover University
Expansion Packs,2020-06-05,EP09,Eco Lifestyle
Expansion Packs,2020-11-13,EP10,Snowy Escape
Expansion Packs,2021-07-22,EP11,Cottage Living
Expansion Packs,2022-07-28,EP12,High School Years
Expansion Packs,2023-03-16,EP13,Growing Together
Expansion Packs,2023-07-20,EP14,Horse Ranch
Expansion Packs,2023-12-07,EP15,For Rent
Expansion Packs,2024-07-25,EP16,Lovestruck
Game Packs,2015-01-13,GP01,Outdoor Retreat
Game Packs,2015-07-06,GP02,Spa Day
Game Packs,2016-06-07,GP03,Dine Out
Game Packs,2017-01-24,GP04,Vampires
Game Packs,2017-05-30,GP05,Parenthood
Game Packs,2018-02-27,GP06,Jungle Adventure
Game Packs,2019-02-26,GP07,StrangerVille
Game Packs,2019-09-10,GP08,Realm of Magic
Game Packs,2020-09-08,GP09,Star Wars: Journey to Batuu
Game Packs,2021-06-01,GP10,Dream Home Decorator
Game Packs,2022-02-23,GP11,My Wedding Stories
Game Packs,2022-06-16,GP12,Werewolves
Stuff Packs,2015-05-19,SP01,Luxury Party Stuff
Stuff Packs,2015-06-16,SP02,Perfect Patio Stuff
Stuff Packs,2015-08-11,SP03,Cool Kitchen Stuff
Stuff Packs,2015-09-29,SP04,Spooky Stuff
Stuff Packs,2016-01-12,SP05,Movie Hangout Stuff
Stuff Packs,2016-02-09,SP06,Romantic Garden Stuff
Stuff Packs,2016-06-28,SP07,Kids Room Stuff
Stuff Packs,2016-07-19,SP08,Backyard Stuff
Stuff Packs,2016-12-06,SP09,Vintage Glamour Stuff
Stuff Packs,2017-03-29,SP10,Bowling Night Stuff
Stuff Packs,2017-06-20,SP11,Fitness Stuff
Stuff Packs,2017-08-24,SP12,Toddler Stuff
Stuff Packs,2018-01-16,SP13,Laundry Day Stuff
Stuff Packs,2018-03-13,SP14,My First Pet Stuff
Stuff Packs,2019-08-13,SP15,Moshino Stuff Pack
Stuff Packs,2020-01-21,SP16,Tiny Living
Stuff Packs,2020-07-28,SP17,Nifty Knitting
Stuff Packs,2021-01-26,SP18,Paranormal
Stuff Packs,2023-09-28,SP46,Home Chef Hustle Stuff
Stuff Packs,2024-02-29,SP49,Crystal Creations Stuff Pack
Kits,2021-03-02,SP20,Throwback Fit Kit
Kits,2021-03-02,SP21,Country Kitchen Kit
Kits,2021-03-02,SP22,Bust The Dust Kit
Kits,2021-05-18,SP23,Courtyard Oasis Kit
Kits,2021-10-05,SP24,Fashion Street-Set
Kits,2021-08-26,SP25,Industrial Loft Kit
Kits,2021-10-05,SP26,Incheon Arrivals Kit
Kits,2021-12-02,SP28,Modern Menswear Kit
Kits,2021-11-09,SP29,Blooming Rooms Kit
Kits,2022-02-03,SP30,Carnaval Streetwear Kit
Kits,2022-03-21,SP31,Decor to the Max Kit
Kits,2022-05-26,SP32,Moonlight Chic Kit
Kits,2022-05-26,SP33,Little Campers Kit
Kits,2022-09-01,SP34,First Fits Kit
Kits,2022-09-14,SP35,Desert Luxe Kit
Kits,2022-11-10,SP36,Pastel Pop Kit
Kits,2022-11-10,SP37,Everyday Clutter Kit
Kits,2023-01-19,SP38,Simtimates Collection Kit
Kits,2023-01-19,SP39,Bathroom Clutter Kit
Kits,2023-04-20,SP40,Greenhouse Haven Kit
Kits,2023-04-20,SP41,Basement Treasures Kit
Kits,2023-06-01,SP42,Grunge Revival Kit
Kits,2023-06-01,SP43,Book Nook Kit
Kits,2023-09-07,SP44,Poolside Splash Kit
Kits,2023-09-07,SP45,Modern Luxe Kit
Kits,2024-01-18,SP47,Castle Estate Kit
Kits,2024-01-18,SP48,Goth Galore Kit
Kits,2024-04-18,SP50,Urban Homage Kit
Kits,2024-04-18,SP51,Party Essentials Kit
Kits,2024-05-30,SP52,Riviera Retreat Kit
Kits,2024-05-30,SP53,Cozy Bistro Kit
Kits,2024-09-19,SP54,Artist Studio Kit
Kits,2024-09-19,SP55,Storybook Nursery Kit
