pack name,pack_type,release date,pack_id,total,Own: Promo,Own: Not Promo,Will buy,Might buy,Only on Sale,Only if Free,Never want it
Get To Work,Expansion Packs,2015-03-31,EP01,12478,284,12194,118,195,1017,1184,164
Get Together,Expansion Packs,2015-12-08,EP02,12332,148,12184,162,349,1225,892,196
City Living,Expansion Packs,2016-11-01,EP03,13522,160,13362,158,254,729,407,86
Cats & Dogs,Expansion Packs,2017-11-10,EP04,13833,182,13651,142,225,476,332,148
Seasons,Expansion Packs,2018-06-22,EP05,14295,172,14123,160,180,272,175,74
Get Famous,Expansion Packs,2018-11-16,EP06,11424,147,11277,111,253,1199,1569,600
Island Living,Expansion Packs,2019-06-21,EP07,11881,155,11726,178,343,1361,1135,258
Discover University,Expansion Packs,2019-11-15,EP08,12442,137,12305,201,392,1122,755,244
Eco Lifestyle,Expansion Packs,2020-06-05,EP09,11859,156,11703,207,472,1342,892,384
Snowy Escape,Expansion Packs,2020-11-13,EP10,11174,142,11032,210,486,1499,1336,451
Cottage Living,Expansion Packs,2021-07-22,EP11,13253,138,13115,379,502,704,237,81
High School Years,Expansion Packs,2022-07-28,EP12,10637,148,10489,204,437,1688,1511,679
Growing Together,Expansion Packs,2023-03-16,EP13,11641,149,11492,367,640,1382,820,306
Horse Ranch,Expansion Packs,2023-07-20,EP14,9338,121,9217,413,678,2405,1540,782
For Rent,Expansion Packs,2023-12-07,EP15,8302,126,8176,477,891,3008,1722,756
Lovestruck,Expansion Packs,2024-07-25,EP16,6311,117,6194,592,1030,3868,2085,1270
Outdoor Retreat,Game Packs,2015-01-13,GP01,9740,227,9513,112,319,1178,2968,839
Spa Day,Game Packs,2015-07-06,GP02,10601,209,10392,148,369,1370,2121,547
Dine Out,Game Packs,2016-06-07,GP03,10286,139,10147,98,304,1084,2456,928
Vampires,Game Packs,2017-01-24,GP04,10827,131,10696,233,484,1200,1219,1193
Parenthood,Game Packs,2017-05-30,GP05,12817,163,12654,204,393,780,683,279
Jungle Adventure,Game Packs,2018-02-27,GP06,10925,1436,9489,149,391,1197,1656,838
StrangerVille,Game Packs,2019-02-26,GP07,8916,147,8769,180,437,1549,2399,1675
Realm of Magic,Game Packs,2019-09-10,GP08,10579,147,10432,257,553,1439,1313,1015
Star Wars: Journey to Batuu,Game Packs,2020-09-08,GP09,4727,170,4557,79,155,559,3935,5701
Dream Home Decorator,Game Packs,2021-06-01,GP10,12087,160,11927,273,591,1124,792,289
My Wedding Stories,Game Packs,2022-02-23,GP11,7267,126,7141,98,359,1799,3606,2027
Werewolves,Game Packs,2022-06-16,GP12,9253,146,9107,369,803,1985,1454,1292
Luxury Party Stuff,Stuff Packs,2015-05-19,SP01,8178,1823,6355,58,182,631,4242,1865
Perfect Patio Stuff,Stuff Packs,2015-06-16,SP02,7905,355,7550,108,296,1149,4702,996
