survey_id,player_cas,player_build,player_live,play_style,num_packs_owned,Get To Work,Get Together,City Living,Cats & Dogs,Seasons,Get Famous,Island Living,Discover University,Eco Lifestyle,Snowy Escape,Cottage Living,High School Years,Growing Together,Horse Ranch,For Rent,Lovestruck,Outdoor Retreat,Spa Day,Dine Out,Vampires,Parenthood,Jungle Adventure,StrangerVille,Realm of Magic,Star Wars: Journey to Batuu,Dream Home Decorator,My Wedding Stories,Werewolves,Luxury Party Stuff,Perfect Patio Stuff,Cool Kitchen Stuff,Spooky Stuff,Movie Hangout Stuff,Romantic Garden Stuff,Kids Room Stuff,Backyard Stuff,Vintage Glamour Stuff,Bowling Night Stuff,Fitness Stuff,Toddler Stuff,Laundry Day Stuff,My First Pet Stuff,Moshino Stuff Pack,Tiny Living,Nifty Knitting,Paranormal,Throwback Fit Kit,Country Kitchen Kit,Bust The Dust Kit,Courtyard Oasis Kit,Fashion Street-Set,Industrial Loft Kit,Incheon Arrivals Kit,Modern Menswear Kit,Blooming Rooms Kit,Carnaval Streetwear Kit,Decor to the Max Kit,Moonlight Chic Kit,Little Campers Kit,First Fits Kit,Desert Luxe Kit,Pastel Pop Kit,Everyday Clutter Kit,Simtimates Collection Kit,Bathroom Clutter Kit,Greenhouse Haven Kit,Basement Treasures Kit,Grunge Revival Kit,Book Nook Kit,Poolside Splash Kit,Modern Luxe Kit,Home Chef Hustle Stuff,Castle Estate Kit,Goth Galore Kit,Crystal Creations Stuff Pack,Urban Homage Kit,Party Essentials Kit,Riviera Retreat Kit,Cozy Bistro Kit,Artist Studio Kit,Storybook Nursery Kit
1,True,False,True,"cas, live",9,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,False,True,True,"build, live",20,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,False,True,False,build,76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
4,True,True,True,"cas, build, live",81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,True,True,True,"cas, build, live",43,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,True,False,True,"cas, live",39,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,False,True,False,build,59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1
8,False,True,True,"build, live",81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,True,True,True,"cas, build, live",81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,False,True,True,"build, live",35,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
