,pack_type,release date,pack_id,pack name,total,promo,not promo
67,Kits,2023-01-19,SP39,Bathroom Clutter Kit,42,0,42
72,Kits,2023-09-07,SP44,Poolside Splash Kit,4,0,4
62,Kits,2022-09-01,SP34,First Fits Kit,12,0,12
79,Kits,2024-05-30,SP53,Cozy Bistro Kit,13,0,13
76,Kits,2024-04-18,SP50,Urban Homage Kit,13,1,12
81,Kits,2024-09-19,SP55,Storybook Nursery Kit,97,1,96
56,Kits,2021-12-02,SP28,Modern Menswear Kit,7,1,6
61,Kits,2022-05-26,SP33,Little Campers Kit,123,1,122
74,Kits,2024-01-18,SP47,Castle Estate Kit,82,1,81
70,Kits,2023-06-01,SP42,Grunge Revival Kit,46,1,45
77,Kits,2024-04-18,SP51,Party Essentials Kit,12,2,10
80,Kits,2024-09-19,SP54,Artist Studio Kit,38,2,36
75,Kits,2024-01-18,SP48,Goth Galore Kit,75,2,73
59,Kits,2022-03-21,SP31,Decor to the Max Kit,65,2,63
65,Kits,2022-11-10,SP37,Everyday Clutter Kit,153,3,150
69,Kits,2023-04-20,SP41,Basement Treasures Kit,48,3,45
66,Kits,2023-01-19,SP38,Simtimates Collection Kit,42,3,39
49,Kits,2021-03-02,SP20,Throwback Fit Kit,32,4,28
50,Kits,2021-03-02,SP21,Country Kitchen Kit,134,4,130
60,Kits,2022-05-26,SP32,Moonlight Chic Kit,27,4,23
78,Kits,2024-05-30,SP52,Riviera Retreat Kit,26,6,20
64,Kits,2022-11-10,SP36,Pastel Pop Kit,191,6,185
73,Kits,2023-09-07,SP45,Modern Luxe Kit,121,7,114
54,Kits,2021-08-26,SP25,Industrial Loft Kit,100,8,92
71,Kits,2023-06-01,SP43,Book Nook Kit,351,9,342
51,Kits,2021-03-02,SP22,Bust The Dust Kit,327,12,315
55,Kits,2021-10-05,SP26,Incheon Arrivals Kit,85,15,70
58,Kits,2022-02-03,SP30,Carnaval Streetwear Kit,28,16,12
68,Kits,2023-04-20,SP40,Greenhouse Haven Kit,225,28,197
52,Kits,2021-05-18,SP23,Courtyard Oasis Kit,259,135,124
53,Kits,2021-10-05,SP24,Fashion Street-Set,498,469,29
57,Kits,2021-11-09,SP29,Blooming Rooms Kit,2860,2118,742
63,Kits,2022-09-14,SP35,Desert Luxe Kit,2628,2308,320
