,index,release date,pack_id,pack name,PC1,PC2,PC3
0,0,2015-03-31,EP01,Get To Work,-0.23442441641613954,0.08536632046404448,0.023925320305316897
1,1,2015-12-08,EP02,Get Together,-0.2237512912993342,0.07094770351412306,-0.01023852257825336
2,2,2016-11-01,EP03,City Living,-0.36818877867660355,0.17547145920168108,0.12019622240679186
3,3,2017-11-10,EP04,Cats & Dogs,-0.3914668219180908,0.20811690325574764,0.19642795921193387
4,4,2018-06-22,EP05,Seasons,-0.44228758758140413,0.2467571953284715,0.23412450531455878
5,5,2018-11-16,EP06,Get Famous,-0.08863854351700277,-0.026477340463789203,-0.17061696460411527
6,6,2019-06-21,EP07,Island Living,-0.15436580934609304,-0.01256421523819882,-0.15097186392399065
7,7,2019-11-15,EP08,Discover University,-0.23113930525186727,0.047653952658433446,-0.019691300319107714
8,8,2020-06-05,EP09,Eco Lifestyle,-0.13471060049275468,-0.06002040454643649,-0.07152984859593312
9,9,2020-11-13,EP10,Snowy Escape,-0.038483089330364435,-0.12267710373462512,-0.2042754644290271
10,10,2021-07-22,EP11,Cottage Living,-0.30282280400046824,0.08100112290763095,0.1067320306169391
11,11,2022-07-28,EP12,High School Years,0.09428783529826075,-0.22176203840415668,-0.20017703910428208
12,12,2023-03-16,EP13,Growing Together,-0.046937776679230485,-0.09947926741907953,-0.04157572446715639
13,13,2023-07-20,EP14,Horse Ranch,0.4045802130013163,-0.44037946521781873,-0.37789072592453554
14,14,2023-12-07,EP15,For Rent,0.7187107394743488,-0.5631651788630992,0.6166105730492476
15,15,2024-07-25,EP16,Lovestruck,1.439638036735427,0.6312103565570717,-0.05104915695838662
