,index,release date,pack_id,pack name,PC1,PC2,PC3
0,0,2015-01-13,GP01,Outdoor Retreat,-0.06421394540463508,-0.11465708322693278,0.25910755571448624
1,1,2015-07-06,GP02,Spa Day,-0.20300289112970063,-0.1958596324863766,0.165538110637006
2,2,2016-06-07,GP03,Dine Out,-0.1444398317640636,-0.24099704512982673,0.2308853059188359
3,3,2017-01-24,GP04,Vampires,-0.17909442956406077,0.4425731694132737,-0.1900872006837209
4,4,2017-05-30,GP05,Parenthood,-0.512318468759324,-0.3180738332519272,-0.33936563962921085
5,5,2018-02-27,GP06,Jungle Adventure,-0.2241743351748275,-0.08164994378322181,0.03211581314862845
6,6,2019-02-26,GP07,StrangerVille,0.08039402554987662,0.17796422718687224,0.1962389734076991
7,7,2019-09-10,GP08,Realm of Magic,-0.1443080466775603,0.3960314796384043,-0.1448794646300311
8,8,2020-09-08,GP09,Star Wars: Journey to Batuu,1.3152870700021053,-0.22888541198399145,-0.38221754621727494
9,9,2021-06-01,GP10,Dream Home Decorator,-0.4074536823563017,-0.3406657721800517,-0.3113835055315731
10,10,2022-02-23,GP11,My Wedding Stories,0.4057157495093992,-0.05477750712408305,0.5622744003176516
11,11,2022-06-16,GP12,Werewolves,0.07760878576909282,0.558997352927861,-0.0782268024524973
