,index,release date,pack_id,pack name,PC1,PC2,PC3
0,0,2015-05-19,SP01,Luxury Party Stuff,-0.20152044889719786,-0.3894512563984273,0.6020501367133128
1,1,2015-06-16,SP02,Perfect Patio Stuff,-0.3451109453375373,-0.21070985742318094,0.014015766142806878
2,2,2015-08-11,SP03,Cool Kitchen Stuff,-0.3612171196286787,-0.14404330704155802,-0.06271923126821251
3,3,2015-09-29,SP04,Spooky Stuff,-0.4280637745640303,-0.09051915504250384,0.1724711284438058
4,4,2016-01-12,SP05,Movie Hangout Stuff,-0.20383950705413892,-0.11923408467746845,-0.17846938522013286
5,5,2016-02-09,SP06,Romantic Garden Stuff,0.7436129147853703,-0.1723630876495527,0.209893413384624
6,6,2016-06-28,SP07,Kids Room Stuff,-0.2722729293820755,-0.12436760492615526,-0.15992060226385216
7,7,2016-07-19,SP08,Backyard Stuff,0.4902820814344648,-0.20294341996920143,0.19483917287596317
8,8,2016-12-06,SP09,Vintage Glamour Stuff,-0.11236530666246856,-0.12314852853939824,-0.13524696146636014
9,9,2017-03-29,SP10,Bowling Night Stuff,-0.3531084525332657,-0.13529758055878208,-0.09725621630726154
10,10,2017-06-20,SP11,Fitness Stuff,-0.4137975448222765,-0.10134715717250022,-0.053607402644168654
11,11,2017-08-24,SP12,Toddler Stuff,-0.23337311467485533,-0.08196860897984633,-0.19056373796499232
12,12,2018-01-16,SP13,Laundry Day Stuff,0.47049283702446965,0.016400288010668833,-0.3632795906005428
13,13,2018-03-13,SP14,My First Pet Stuff,0.6794613950177955,-0.14242953740225814,0.3191824668894722
14,14,2019-08-13,SP15,Moshino Stuff Pack,-0.14568148650733354,0.050729438843934466,-0.14528044734756665
15,15,2020-01-21,SP16,Tiny Living,0.7131487716248046,0.08843803298377707,-0.28355040190236463
16,16,2020-07-28,SP17,Nifty Knitting,0.130845838756569,0.1946598246531865,-0.2582231703556873
17,17,2021-01-26,SP18,Paranormal,0.13436736432705979,0.27575740989563435,-0.06222597314934024
18,18,2023-09-28,SP46,Home Chef Hustle Stuff,-0.07427062679685888,0.5784608605895637,0.07567004370090331
19,19,2024-02-29,SP49,Crystal Creations Stuff Pack,-0.2175899461098172,0.8333773308040682,0.4022209923395934
