survey_id,Num Packs Owned
1,9
2,20
3,76
4,81
5,43
6,39
7,59
8,81
9,81
10,35
11,25
12,11
13,81
14,6
15,31
16,81
17,18
18,34
19,28
20,21
21,56
22,48
23,45
24,26
25,81
26,81
27,80
28,81
29,81
30,29
31,8
32,79
33,19
34,23
35,57
36,48
37,35
38,15
39,40
40,18
41,31
42,81
43,17
44,41
45,58
46,27
47,34
48,38
49,9
50,81
51,32
52,50
53,51
54,26
55,81
56,3
57,58
58,57
59,68
60,21
61,32
62,52
63,18
64,17
65,66
66,16
67,61
68,54
69,15
70,53
71,75
72,81
73,22
74,14
75,62
76,29
77,81
78,12
79,11
80,81
81,57
82,44
83,5
84,51
85,81
86,36
87,49
88,23
89,41
90,16
91,31
92,81
93,70
94,75
95,81
96,72
97,80
98,23
99,19
100,29
101,81
102,68
103,18
104,20
105,81
106,32
107,44
108,18
109,23
110,20
111,81
112,23
113,29
114,39
115,39
116,31
117,70
118,36
119,30
120,65
121,29
122,81
123,16
124,27
125,16
126,31
127,21
128,16
129,56
130,30
131,39
132,22
133,63
134,28
135,67
136,76
137,26
138,14
139,81
140,8
141,50
142,66
143,59
144,27
145,47
146,36
147,33
148,8
149,30
150,74
151,81
152,78
153,31
154,52
155,42
156,55
157,58
158,60
159,10
160,15
161,38
162,81
163,13
164,79
165,52
166,32
167,22
168,46
169,81
170,54
171,11
172,31
173,41
174,46
175,18
176,80
177,43
178,74
179,46
180,27
181,81
182,43
183,40
184,16
185,43
186,81
187,38
188,81
189,64
190,43
191,69
192,81
193,81
194,31
195,13
196,19
197,3
198,50
199,43
200,44
201,14
202,34
203,24
204,32
205,29
206,52
207,81
208,51
209,42
210,70
211,20
212,62
213,24
214,24
215,27
216,81
217,63
218,41
219,81
220,5
221,60
222,15
223,81
224,18
225,81
226,14
227,52
228,36
229,33
230,28
231,62
232,10
233,33
234,35
235,55
236,31
237,54
238,34
239,69
240,8
241,43
242,59
243,81
244,27
245,37
246,25
247,60
248,81
249,53
250,20
251,43
252,71
253,20
254,21
255,24
256,58
257,80
258,52
259,49
260,81
261,81
262,23
263,14
264,24
265,15
266,15
267,1
268,4
269,28
270,31
271,49
272,46
273,57
274,30
275,21
276,23
277,30
278,50
279,81
280,39
281,57
282,67
283,21
284,31
285,46
286,40
287,33
288,18
289,74
290,27
291,12
292,41
293,18
294,28
295,81
296,38
297,27
298,44
299,11
300,68
301,24
302,49
303,42
304,17
305,81
306,81
307,28
308,78
309,50
310,39
311,69
312,29
313,43
314,81
315,81
316,81
317,81
318,37
319,31
320,41
321,17
322,6
323,31
324,18
325,64
326,55
327,81
328,81
329,81
330,32
331,55
332,80
333,57
334,51
335,7
336,39
337,77
338,81
339,50
340,29
341,70
342,34
343,9
344,28
345,2
346,81
347,70
348,60
349,38
350,81
351,58
352,74
353,81
354,68
355,24
356,81
357,43
358,23
359,72
360,42
361,23
362,24
363,47
364,27
365,31
366,46
367,34
368,19
369,49
370,80
371,33
372,40
373,18
374,8
375,5
376,50
377,54
378,16
379,19
380,66
381,42
382,39
383,77
384,10
385,10
386,69
387,52
388,33
389,26
390,10
391,21
392,24
393,5
394,53
395,48
396,37
397,76
398,30
399,44
400,59
401,9
402,50
403,76
404,80
405,59
406,30
407,24
408,11
409,19
410,2
411,36
412,14
413,81
414,26
415,2
416,27
417,81
418,14
419,81
420,27
421,17
422,34
423,33
424,35
425,9
426,78
427,56
428,35
429,17
430,37
431,29
432,81
433,77
434,12
435,27
436,81
437,44
438,40
439,52
440,16
441,49
442,66
443,28
444,48
445,80
446,38
447,22
448,41
449,49
450,43
451,18
452,12
453,21
454,50
455,67
456,40
457,79
458,54
459,20
460,20
461,45
462,35
463,30
464,11
465,15
466,45
467,45
468,10
469,81
470,47
471,34
472,80
473,81
474,19
475,29
476,76
477,81
478,40
479,73
480,15
481,74
482,28
483,40
484,39
485,81
486,38
487,81
488,21
489,42
490,78
491,62
492,41
493,22
494,50
495,41
496,36
497,33
498,10
499,39
500,36
501,75
502,75
503,35
504,21
505,37
506,26
507,81
508,81
509,80
510,50
511,36
512,37
513,32
514,36
515,39
516,37
517,81
518,59
519,21
520,81
521,15
522,34
523,36
524,37
525,12
526,81
527,81
528,24
529,60
530,35
531,28
532,26
533,2
534,51
535,33
536,78
537,23
538,26
539,17
540,48
541,33
542,8
543,81
544,64
545,33
546,18
547,34
548,13
549,35
550,81
551,62
552,27
553,29
554,55
555,60
556,26
557,65
558,29
559,65
560,5
561,54
562,81
563,25
564,9
565,46
566,38
567,32
568,41
569,49
570,79
571,59
572,20
573,81
574,25
575,71
576,28
577,76
578,59
579,21
580,32
581,76
582,26
583,28
584,79
585,2
586,31
587,81
588,24
589,11
590,60
591,14
592,62
593,23
594,24
595,64
596,44
597,53
598,64
599,57
600,45
601,81
602,15
603,51
604,17
605,63
606,39
607,29
608,46
609,25
610,81
611,35
612,48
613,81
614,57
615,25
616,41
617,81
618,80
619,3
620,33
621,28
622,38
623,26
624,50
625,80
626,15
627,29
628,81
629,51
630,76
631,74
632,13
633,80
634,24
635,26
636,58
637,29
638,81
639,52
640,14
641,44
642,74
643,10
644,20
645,81
646,18
647,40
648,2
649,54
650,13
651,47
652,28
653,53
654,29
655,20
656,29
657,30
658,19
659,68
660,24
661,65
662,5
663,69
664,30
665,52
666,81
667,19
668,77
669,27
670,18
671,39
672,20
673,28
674,31
675,18
676,7
677,62
678,46
679,81
680,65
681,24
682,5
683,64
684,52
685,23
686,81
687,68
688,25
689,20
690,65
691,27
692,23
693,64
694,65
695,16
696,61
697,40
698,67
699,81
700,59
701,33
702,46
703,20
704,41
705,14
706,81
707,4
708,5
709,35
710,45
711,79
712,12
713,42
714,57
715,26
716,81
717,63
718,33
719,81
720,26
721,76
722,81
723,23
724,29
725,81
726,24
727,54
728,20
729,24
730,81
731,17
732,52
733,40
734,33
735,57
736,23
737,14
738,81
739,70
740,51
741,21
742,68
743,27
744,15
745,22
746,80
747,23
748,32
749,81
750,75
751,27
752,26
753,17
754,10
755,9
756,81
757,26
758,52
759,9
760,32
761,66
762,80
763,34
764,27
765,30
766,81
767,52
768,3
769,37
770,73
771,6
772,81
773,17
774,81
775,44
776,81
777,7
778,27
779,23
