pack_type,release date,pack_id,pack name,Num Owning,Num Missing
Game Packs,2020-09-08,GP09,Star Wars: Journey to Batuu,171,82
Kits,2021-03-02,SP22,Bust The Dust Kit,197,56
Kits,2021-12-02,SP28,Modern Menswear Kit,223,30
Expansion Packs,2024-07-25,EP16,Lovestruck,235,18
Kits,2024-09-19,SP54,Artist Studio Kit,242,11
Kits,2024-04-18,SP50,Urban Homage Kit,244,9
Kits,2024-04-18,SP51,Party Essentials Kit,247,6
Kits,2024-01-18,SP48,Goth Galore Kit,247,6
Stuff Packs,2018-03-13,SP14,My First Pet Stuff,249,4
Kits,2024-01-18,SP47,Castle Estate Kit,249,4
Kits,2024-09-19,SP55,Storybook Nursery Kit,250,3
Kits,2022-03-21,SP31,Decor to the Max Kit,250,3
Expansion Packs,2020-06-05,EP09,Eco Lifestyle,251,2
Kits,2023-01-19,SP38,Simtimates Collection Kit,251,2
Kits,2024-05-30,SP53,Cozy Bistro Kit,251,2
Kits,2022-02-03,SP30,Carnaval Streetwear Kit,251,2
Game Packs,2022-02-23,GP11,My Wedding Stories,252,1
Kits,2021-03-02,SP21,Country Kitchen Kit,252,1
Stuff Packs,2015-08-11,SP03,Cool Kitchen Stuff,252,1
Kits,2022-09-01,SP34,First Fits Kit,252,1
Stuff Packs,2015-05-19,SP01,Luxury Party Stuff,252,1
Kits,2021-05-18,SP23,Courtyard Oasis Kit,252,1
Stuff Packs,2021-01-26,SP18,Paranormal,252,1
Kits,2024-05-30,SP52,Riviera Retreat Kit,252,1
Game Packs,2017-05-30,GP05,Parenthood,252,1
Stuff Packs,2024-02-29,SP49,Crystal Creations Stuff Pack,252,1
Stuff Packs,2023-09-28,SP46,Home Chef Hustle Stuff,252,1
Expansion Packs,2023-12-07,EP15,For Rent,252,1
Kits,2021-03-02,SP20,Throwback Fit Kit,252,1
Kits,2022-09-14,SP35,Desert Luxe Kit,253,0
Kits,2023-09-07,SP45,Modern Luxe Kit,253,0
Kits,2023-09-07,SP44,Poolside Splash Kit,253,0
Kits,2021-10-05,SP24,Fashion Street-Set,253,0
Kits,2021-08-26,SP25,Industrial Loft Kit,253,0
Kits,2021-10-05,SP26,Incheon Arrivals Kit,253,0
Kits,2021-11-09,SP29,Blooming Rooms Kit,253,0
Kits,2023-06-01,SP42,Grunge Revival Kit,253,0
Kits,2023-04-20,SP41,Basement Treasures Kit,253,0
Kits,2022-05-26,SP32,Moonlight Chic Kit,253,0
Kits,2023-04-20,SP40,Greenhouse Haven Kit,253,0
Kits,2022-05-26,SP33,Little Campers Kit,253,0
Kits,2023-01-19,SP39,Bathroom Clutter Kit,253,0
Kits,2022-11-10,SP37,Everyday Clutter Kit,253,0
Kits,2023-06-01,SP43,Book Nook Kit,253,0
Kits,2022-11-10,SP36,Pastel Pop Kit,253,0
Expansion Packs,2015-03-31,EP01,Get To Work,253,0
Stuff Packs,2020-01-21,SP16,Tiny Living,253,0
Game Packs,2015-07-06,GP02,Spa Day,253,0
Game Packs,2015-01-13,GP01,Outdoor Retreat,253,0
Expansion Packs,2023-07-20,EP14,Horse Ranch,253,0
Expansion Packs,2023-03-16,EP13,Growing Together,253,0
Expansion Packs,2022-07-28,EP12,High School Years,253,0
Expansion Packs,2021-07-22,EP11,Cottage Living,253,0
Game Packs,2016-06-07,GP03,Dine Out,253,0
Expansion Packs,2020-11-13,EP10,Snowy Escape,253,0
Expansion Packs,2019-06-21,EP07,Island Living,253,0
Expansion Packs,2018-11-16,EP06,Get Famous,253,0
Expansion Packs,2018-06-22,EP05,Seasons,253,0
Expansion Packs,2017-11-10,EP04,Cats & Dogs,253,0
Expansion Packs,2016-11-01,EP03,City Living,253,0
Expansion Packs,2015-12-08,EP02,Get Together,253,0
Expansion Packs,2019-11-15,EP08,Discover University,253,0
Stuff Packs,2020-07-28,SP17,Nifty Knitting,253,0
Game Packs,2017-01-24,GP04,Vampires,253,0
Game Packs,2019-02-26,GP07,StrangerVille,253,0
Stuff Packs,2019-08-13,SP15,Moshino Stuff Pack,253,0
Stuff Packs,2017-08-24,SP12,Toddler Stuff,253,0
Stuff Packs,2017-06-20,SP11,Fitness Stuff,253,0
Stuff Packs,2017-03-29,SP10,Bowling Night Stuff,253,0
Stuff Packs,2016-12-06,SP09,Vintage Glamour Stuff,253,0
Stuff Packs,2016-07-19,SP08,Backyard Stuff,253,0
Game Packs,2018-02-27,GP06,Jungle Adventure,253,0
Stuff Packs,2016-06-28,SP07,Kids Room Stuff,253,0
Stuff Packs,2016-01-12,SP05,Movie Hangout Stuff,253,0
Stuff Packs,2015-09-29,SP04,Spooky Stuff,253,0
Stuff Packs,2015-06-16,SP02,Perfect Patio Stuff,253,0
Game Packs,2022-06-16,GP12,Werewolves,253,0
Game Packs,2021-06-01,GP10,Dream Home Decorator,253,0
Game Packs,2019-09-10,GP08,Realm of Magic,253,0
Stuff Packs,2016-02-09,SP06,Romantic Garden Stuff,253,0
Stuff Packs,2018-01-16,SP13,Laundry Day Stuff,253,0
