,index,release date,pack_id,pack name,PC1,PC2,PC3
0,0,2015-03-31,EP01,Get To Work,12.729976252446107,7.112651174684848,11.837539043567869
1,1,2015-12-08,EP02,Get Together,11.85054941940583,8.95326186328311,8.274643405214485
2,2,2016-11-01,EP03,City Living,22.71292110193607,-2.517650681742392,9.49232459554789
3,3,2017-11-10,EP04,Cats & Dogs,24.12892383559296,-14.905872334695468,5.773408453443621
4,4,2018-06-22,EP05,Seasons,27.677923073038553,-16.263917450448286,6.240368864174812
5,5,2018-11-16,EP06,Get Famous,1.6279544317078798,21.266961461041713,6.573113904668287
6,6,2019-06-21,EP07,Island Living,6.1220337850934685,13.809714952782427,-1.0068394428558607
7,7,2019-11-15,EP08,Discover University,12.090313099678674,6.284114479128497,2.504752521812163
8,8,2020-06-05,EP09,Eco Lifestyle,4.614706668326213,3.305233855693353,-9.98682678914972
9,9,2020-11-13,EP10,Snowy Escape,-2.8874225303816,15.224956539198423,-10.501179059368372
10,10,2021-07-22,EP11,Cottage Living,16.999862747079206,-16.720887805933167,-6.832838721206265
11,11,2022-07-28,EP12,High School Years,-12.282660247038356,5.500940492405408,-16.52728069478032
12,12,2023-03-16,EP13,Growing Together,-1.577419151189249,-11.074057363128732,-14.489918689530668
13,13,2023-07-20,EP14,Horse Ranch,-28.408020585455365,-5.863064792887942,-17.11701070557291
14,14,2023-12-07,EP15,For Rent,-40.1882564021393,-7.15252763645432,2.0749918647861905
15,15,2024-07-25,EP16,Lovestruck,-55.21138549810103,-6.959856752927523,23.69075144924881
