,survey_id,pack_type,total packs owned,number free,Percent Free,Purchased
0,1,Expansion Packs,6,0,0.0,6
1,1,Kits,1,1,1.0,0
2,1,Stuff Packs,2,1,0.5,1
3,2,Expansion Packs,9,0,0.0,9
4,2,Game Packs,4,0,0.0,4
5,2,Stuff Packs,7,1,0.14285714285714285,6
6,3,Expansion Packs,16,0,0.0,16
7,3,Game Packs,12,1,0.08333333333333333,11
8,3,Kits,28,2,0.07142857142857142,26
9,3,Stuff Packs,20,1,0.05,19
10,4,Expansion Packs,16,0,0.0,16
11,4,Game Packs,12,0,0.0,12
12,4,Kits,33,0,0.0,33
13,4,Stuff Packs,20,0,0.0,20
14,5,Expansion Packs,15,0,0.0,15
15,5,Game Packs,10,0,0.0,10
16,5,Stuff Packs,18,0,0.0,18
17,6,Expansion Packs,12,0,0.0,12
18,6,Game Packs,9,0,0.0,9
19,6,Kits,1,1,1.0,0
20,6,Stuff Packs,17,1,0.058823529411764705,16
21,7,Expansion Packs,16,0,0.0,16
22,7,Game Packs,12,0,0.0,12
23,7,Kits,16,1,0.0625,15
24,7,Stuff Packs,15,0,0.0,15
25,8,Expansion Packs,16,0,0.0,16
26,8,Game Packs,12,1,0.08333333333333333,11
27,8,Kits,33,0,0.0,33
28,8,Stuff Packs,20,1,0.05,19
29,9,Expansion Packs,16,12,0.75,4
30,9,Game Packs,12,6,0.5,6
31,9,Kits,33,33,1.0,0
32,9,Stuff Packs,20,6,0.3,14
33,10,Expansion Packs,13,0,0.0,13
34,10,Game Packs,7,0,0.0,7
35,10,Kits,5,1,0.2,4
36,10,Stuff Packs,10,3,0.3,7
37,11,Expansion Packs,9,0,0.0,9
38,11,Game Packs,6,0,0.0,6
39,11,Kits,2,1,0.5,1
40,11,Stuff Packs,8,4,0.5,4
41,12,Expansion Packs,2,0,0.0,2
42,12,Game Packs,2,0,0.0,2
43,12,Kits,2,1,0.5,1
44,12,Stuff Packs,5,2,0.4,3
45,13,Expansion Packs,16,0,0.0,16
46,13,Game Packs,12,0,0.0,12
47,13,Kits,33,1,0.030303030303030304,32
48,13,Stuff Packs,20,0,0.0,20
49,14,Expansion Packs,3,1,0.3333333333333333,2
50,14,Game Packs,1,1,1.0,0
51,14,Stuff Packs,2,1,0.5,1
52,15,Expansion Packs,13,0,0.0,13
53,15,Game Packs,5,0,0.0,5
54,15,Kits,4,1,0.25,3
55,15,Stuff Packs,9,3,0.3333333333333333,6
56,16,Expansion Packs,16,0,0.0,16
57,16,Game Packs,12,0,0.0,12
58,16,Kits,33,0,0.0,33
59,16,Stuff Packs,20,1,0.05,19
60,17,Expansion Packs,9,0,0.0,9
61,17,Game Packs,3,0,0.0,3
62,17,Stuff Packs,6,1,0.16666666666666666,5
63,18,Expansion Packs,13,0,0.0,13
64,18,Game Packs,7,0,0.0,7
65,18,Kits,2,2,1.0,0
66,18,Stuff Packs,12,3,0.25,9
67,19,Expansion Packs,11,0,0.0,11
68,19,Game Packs,4,0,0.0,4
69,19,Kits,5,0,0.0,5
70,19,Stuff Packs,8,1,0.125,7
71,20,Expansion Packs,8,0,0.0,8
72,20,Game Packs,4,1,0.25,3
73,20,Kits,2,1,0.5,1
74,20,Stuff Packs,7,2,0.2857142857142857,5
75,21,Expansion Packs,15,0,0.0,15
76,21,Game Packs,12,0,0.0,12
77,21,Kits,13,0,0.0,13
78,21,Stuff Packs,16,0,0.0,16
79,22,Expansion Packs,14,0,0.0,14
80,22,Game Packs,10,0,0.0,10
81,22,Kits,5,0,0.0,5
82,22,Stuff Packs,19,0,0.0,19
83,23,Expansion Packs,15,0,0.0,15
