,pack_code,pack_type,release date,pack name,score_type,category score,mean score,differential
0,EP01,Expansion Packs,2015-03-31,Get To Work,gameplay,6.7403,5.229500000000001,1.5107999999999997
1,EP02,Expansion Packs,2015-12-08,Get Together,gameplay,6.454,6.286133333333333,0.16786666666666683
2,EP03,Expansion Packs,2016-11-01,City Living,gameplay,7.434,6.8450999999999995,0.5889000000000006
3,EP04,Expansion Packs,2017-11-10,Cats & Dogs,gameplay,7.2864,6.871033333333334,0.41536666666666644
4,EP05,Expansion Packs,2018-06-22,Seasons,gameplay,8.3771,7.665166666666667,0.7119333333333335
5,EP06,Expansion Packs,2018-11-16,Get Famous,gameplay,6.0866,5.8646,0.22199999999999953
6,EP07,Expansion Packs,2019-06-21,Island Living,gameplay,5.8494,6.4257,-0.5762999999999998
7,EP08,Expansion Packs,2019-11-15,Discover University,gameplay,7.0505,7.103133333333333,-0.052633333333332644
8,EP09,Expansion Packs,2020-06-05,Eco Lifestyle,gameplay,6.4162,6.9933000000000005,-0.5771000000000006
9,EP10,Expansion Packs,2020-11-13,Snowy Escape,gameplay,6.2187,7.103466666666667,-0.8847666666666667
10,EP11,Expansion Packs,2021-07-22,Cottage Living,gameplay,8.6489,8.633333333333333,0.015566666666666507
11,EP12,Expansion Packs,2022-07-28,High School Years,gameplay,5.9571,7.270833333333333,-1.3137333333333334
12,EP13,Expansion Packs,2023-03-16,Growing Together,gameplay,7.8401,7.9252,-0.08510000000000062
13,EP14,Expansion Packs,2023-07-20,Horse Ranch,gameplay,7.1332,7.462666666666666,-0.3294666666666659
14,EP15,Expansion Packs,2023-12-07,For Rent,gameplay,6.842,7.0477,-0.20570000000000022
15,EP16,Expansion Packs,2024-07-25,Lovestruck,gameplay,6.5528,7.213666666666666,-0.6608666666666654
16,GP01,Game Packs,2015-01-13,Outdoor Retreat,gameplay,5.2979,4.870433333333334,0.42746666666666666
17,GP02,Game Packs,2015-07-06,Spa Day,gameplay,5.9859,5.820399999999999,0.16550000000000065
18,GP03,Game Packs,2016-06-07,Dine Out,gameplay,6.2761,5.421499999999999,0.8546000000000005
19,GP04,Game Packs,2017-01-24,Vampires,gameplay,7.0345,6.7632,0.2713000000000001
20,GP05,Game Packs,2017-05-30,Parenthood,gameplay,7.6079,7.028766666666667,0.5791333333333331
21,GP06,Game Packs,2018-02-27,Jungle Adventure,gameplay,6.4523,6.2453666666666665,0.20693333333333364
22,GP07,Game Packs,2019-02-26,StrangerVille,gameplay,6.0845,6.1722,-0.08769999999999989
23,GP08,Game Packs,2019-09-10,Realm of Magic,gameplay,7.1037,6.719666666666666,0.3840333333333339
24,GP09,Game Packs,2020-09-08,Star Wars: Journey to Batuu,gameplay,3.7495,4.240933333333333,-0.4914333333333336
25,GP10,Game Packs,2021-06-01,Dream Home Decorator,gameplay,6.8215,7.7453,-0.9238
26,GP11,Game Packs,2022-02-23,My Wedding Stories,gameplay,5.7732,6.7285,-0.9553000000000003
27,GP12,Game Packs,2022-06-16,Werewolves,gameplay,7.1058,7.3262,-0.2203999999999997
81,EP01,Expansion Packs,2015-03-31,Get To Work,buildmode,4.8318,5.229500000000001,-0.3977000000000004
82,EP02,Expansion Packs,2015-12-08,Get Together,buildmode,6.8248,6.286133333333333,0.5386666666666668
83,EP03,Expansion Packs,2016-11-01,City Living,buildmode,7.0164,6.8450999999999995,0.17130000000000045
84,EP04,Expansion Packs,2017-11-10,Cats & Dogs,buildmode,7.2529,6.871033333333334,0.38186666666666635
85,EP05,Expansion Packs,2018-06-22,Seasons,buildmode,7.6648,7.665166666666667,-0.0003666666666672924
86,EP06,Expansion Packs,2018-11-16,Get Famous,buildmode,5.7169,5.8646,-0.1477000000000004
