survey_id,total packs owned,number free,Percent Free,Purchased
1,9,2,0.2222222222222222,7
2,20,1,0.05,19
3,76,4,0.05263157894736842,72
4,81,0,0.0,81
5,43,0,0.0,43
6,39,2,0.05128205128205128,37
7,59,1,0.01694915254237288,58
8,81,2,0.024691358024691357,79
9,81,57,0.7037037037037037,24
10,35,4,0.11428571428571428,31
11,25,5,0.2,20
12,11,3,0.2727272727272727,8
13,81,1,0.012345679012345678,80
14,6,3,0.5,3
15,31,4,0.12903225806451613,27
16,81,1,0.012345679012345678,80
17,18,1,0.05555555555555555,17
18,34,5,0.14705882352941177,29
19,28,1,0.03571428571428571,27
20,21,4,0.19047619047619047,17
21,56,0,0.0,56
22,48,0,0.0,48
23,45,0,0.0,45
24,26,3,0.11538461538461539,23
25,81,0,0.0,81
26,81,0,0.0,81
27,80,1,0.0125,79
28,81,0,0.0,81
29,81,2,0.024691358024691357,79
30,29,4,0.13793103448275862,25
31,8,1,0.125,7
32,79,0,0.0,79
33,19,7,0.3684210526315789,12
34,23,3,0.13043478260869565,20
35,57,1,0.017543859649122806,56
36,48,3,0.0625,45
37,35,3,0.08571428571428572,32
38,15,3,0.2,12
39,40,1,0.025,39
40,18,3,0.16666666666666666,15
41,31,0,0.0,31
42,81,1,0.012345679012345678,80
43,17,8,0.47058823529411764,9
44,41,4,0.0975609756097561,37
45,58,1,0.017241379310344827,57
46,27,4,0.14814814814814814,23
47,34,2,0.058823529411764705,32
48,38,1,0.02631578947368421,37
49,9,2,0.2222222222222222,7
50,81,1,0.012345679012345678,80
51,32,2,0.0625,30
52,50,1,0.02,49
53,51,1,0.0196078431372549,50
54,26,0,0.0,26
55,81,0,0.0,81
56,3,2,0.6666666666666666,1
57,58,0,0.0,58
58,57,6,0.10526315789473684,51
59,68,1,0.014705882352941176,67
60,21,2,0.09523809523809523,19
61,32,6,0.1875,26
62,52,3,0.057692307692307696,49
63,18,1,0.05555555555555555,17
64,17,0,0.0,17
65,66,1,0.015151515151515152,65
66,16,7,0.4375,9
67,61,4,0.06557377049180328,57
68,54,1,0.018518518518518517,53
69,15,4,0.26666666666666666,11
70,53,2,0.03773584905660377,51
71,75,1,0.013333333333333334,74
72,81,2,0.024691358024691357,79
73,22,3,0.13636363636363635,19
74,14,1,0.07142857142857142,13
75,62,1,0.016129032258064516,61
76,29,5,0.1724137931034483,24
77,81,0,0.0,81
78,12,2,0.16666666666666666,10
79,11,4,0.36363636363636365,7
80,81,1,0.012345679012345678,80
81,57,0,0.0,57
82,44,1,0.022727272727272728,43
83,5,2,0.4,3
84,51,3,0.058823529411764705,48
85,81,0,0.0,81
86,36,0,0.0,36
87,49,3,0.061224489795918366,46
88,23,4,0.17391304347826086,19
